qp,elapsed_sec,fps,size_bytes,size_mb,return_code
1,0.0067,,,,3221225781
2,0.0044,,,,3221225781
3,0.0043,,,,3221225781
4,0.0043,,,,3221225781
5,0.0041,,,,3221225781
6,0.0042,,,,3221225781
7,0.0047,,,,3221225781
8,0.0042,,,,3221225781
9,0.0041,,,,3221225781
10,0.0044,,,,3221225781
11,0.0041,,,,3221225781
12,0.0039,,,,3221225781
13,0.0043,,,,3221225781
14,0.0043,,,,3221225781
15,0.0042,,,,3221225781
16,0.004,,,,3221225781
17,0.0044,,,,3221225781
18,0.0045,,,,3221225781
19,0.0039,,,,3221225781
20,0.0044,,,,3221225781
21,0.0047,,,,3221225781
22,0.0043,,,,3221225781
23,0.0042,,,,3221225781
24,0.0045,,,,3221225781
25,0.0041,,,,3221225781
26,0.0041,,,,3221225781
27,0.0044,,,,3221225781
28,0.0041,,,,3221225781
29,0.0038,,,,3221225781
30,0.0043,,,,3221225781
31,0.0042,,,,3221225781
32,0.0041,,,,3221225781
33,0.0045,,,,3221225781
34,0.0044,,,,3221225781
35,0.0041,,,,3221225781
36,0.0044,,,,3221225781
37,0.0046,,,,3221225781
38,0.0041,,,,3221225781
39,0.004,,,,3221225781
40,0.0045,,,,3221225781
41,0.004,,,,3221225781
42,0.004,,,,3221225781
43,0.0046,,,,3221225781
44,0.0042,,,,3221225781
45,0.0042,,,,3221225781
46,0.0042,,,,3221225781
47,0.0041,,,,3221225781
48,0.004,,,,3221225781
49,0.0039,,,,3221225781
50,0.0044,,,,3221225781
51,0.0042,,,,3221225781
